Date,Actual,SARIMA_Forecast
2024-01-07,1791,1797.1143425720545
2024-01-14,2096,1936.096282021913
2024-01-21,1835,1954.598164819889
2024-01-28,2408,2127.223352471978
2024-02-04,1865,1811.8168909043604
2024-02-11,1545,1959.918547476596
2024-02-18,1938,2109.8931230342823
2024-02-25,1982,1864.8994817207179
2024-03-03,2484,1940.897891404884
2024-03-10,1972,1781.898289144964
2024-03-17,2086,1775.8981896696473
2024-03-24,2027,2174.898214548555
2024-03-31,1800,2284.8982083263077
2024-04-07,2271,2005.8982098825
2024-04-14,2185,2209.8982094932944
2024-04-21,2182,2074.898209590635
2024-04-28,1824,1866.8982095662898
2024-05-05,2266,2039.8982095723786
2024-05-12,1688,2237.898209570855
2024-05-19,2049,1915.898209571236
2024-05-26,2322,2177.898209571141
2024-06-02,1686,1392.8982095711647
2024-06-09,1731,1970.8982095711588
2024-06-16,2248,2218.89820957116
2024-06-23,2077,2100.89820957116
2024-06-30,1814,2144.89820957116
2024-07-07,2122,1687.89820957116
2024-07-14,1849,2006.89820957116
2024-07-21,1676,1657.89820957116
2024-07-28,1420,1788.89820957116
2024-08-04,1766,1459.89820957116
2024-08-11,1380,1388.89820957116
2024-08-18,1422,1407.8982095711601
2024-08-25,1562,1580.8982095711601
2024-09-01,1249,1479.89820957116
2024-09-08,1440,1348.8982095711601
2024-09-15,1580,1477.8982095711601
2024-09-22,1167,1415.8982095711601
2024-09-29,1415,1530.8982095711601
2024-10-06,2143,1930.8982095711601
2024-10-13,2262,2013.89820957116
2024-10-20,1851,2013.8982095711601
2024-10-27,1850,1813.8982095711601
2024-11-03,2267,2195.89820957116
2024-11-10,2247,2215.89820957116
2024-11-17,2270,2192.89820957116
2024-11-24,2327,2174.89820957116
2024-12-01,2132,1951.89820957116
2024-12-08,2382,2206.89820957116
2024-12-15,2440,2262.89820957116
2024-12-22,2242,2197.89820957116
2024-12-29,2084,1725.89820957116
